"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","2.64","CIN","BUF","20","2023-01-22","4","12:54","3","2","(12:54) (Shotgun) 9-J.Burrow pass incomplete deep left to 85-T.Higgins [55-C.Basham]. BUF-27-T.White was injured during the play. His return is Probable. BUF-21-J.Poyer was injured during the play. He is Out.  PENALTY on BUF-27-T.White, Defensive Pass Interference, 26 yards, enforced at BUF 30 - No Play. 27-T.White and 21-J.Poyer walk off.","Box Score"
"","1.91","SF","DAL","20","2023-01-22","2","6:00","3","2","(6:00) (Shotgun) 13-B.Purdy pass short right to 15-J.Jennings to SF 48 for 5 yards (26-D.Bland). PENALTY on DAL-26-D.Bland, Unnecessary Roughness, 15 yards, enforced at SF 48. 5 YAC","Box Score"
"","1.90","KC","JAX","20","2023-01-21","2","5:50","3","3","(5:50) (Shotgun) 4-C.Henne pass short left to 87-T.Kelce to KC 42 for 4 yards (2-R.Jenkins). PENALTY on JAX-49-A.Key, Roughing the Passer, 15 yards, enforced at KC 42.","Box Score"
"","1.62","PHI","NYG","20","2023-01-21","2","1:36","2","9","(1:36) (Shotgun) 1-J.Hurts pass incomplete short right to 14-K.Gainwell. PENALTY on NYG-57-J.Davis, Unnecessary Roughness, 5 yards, enforced at NYG 10.","Box Score"
"","1.47","SF","DAL","20","2023-01-22","3","1:03","3","8","(1:03) (Shotgun) 13-B.Purdy sacked at DAL 26 for -6 yards (sack split by 90-D.Lawrence and 55-L.Vander Esch). PENALTY on DAL-6-D.Wilson, Defensive Holding, 5 yards, enforced at DAL 20 - No Play.","Box Score"
"","1.45","DAL","SF","20","2023-01-22","2","3:38","1","10","(3:38) (Shotgun) 4-D.Prescott pass short left to 21-E.Elliott ran ob at DAL 44 for 9 yards (54-F.Warner). PENALTY on SF-57-D.Greenlaw, Unnecessary Roughness, 15 yards, enforced at DAL 44. 11 YAC","Box Score"
"","0.98","CIN","BUF","20","2023-01-22","1","5:25","3","3","(5:25) (Shotgun) 9-J.Burrow sacked at BUF 33 for -10 yards (55-C.Basham). PENALTY on BUF-55-C.Basham, Defensive Offside, 5 yards, enforced at BUF 23 - No Play.","Box Score"
"","0.84","KC","JAX","20","2023-01-21","4","9:48","2","6","(9:48) (Shotgun) PENALTY on JAX-98-C.Peters, Neutral Zone Infraction, 5 yards, enforced at JAX 45 - No Play.","Box Score"
"","0.60","CIN","BUF","20","2023-01-22","3","2:17","1","5","(2:17) (Shotgun) 9-J.Burrow pass incomplete short left to 16-T.Irwin. PENALTY on BUF-27-T.White, Defensive Pass Interference, 4 yards, enforced at BUF 5 - No Play.","Box Score"
"","0.55","KC","JAX","20","2023-01-21","1","5:04","1","10","(5:04) 15-P.Mahomes scrambles up the middle to KC 30 for 5 yards (5-A.Cisco; 44-T.Walker). PENALTY on JAX-33-D.Lloyd, Defensive Holding, 5 yards, enforced at KC 30.","Box Score"
"","0.53","SF","DAL","20","2023-01-22","3","5:58","1","10","(5:58) PENALTY on DAL-90-D.Lawrence, Neutral Zone Infraction, 5 yards, enforced at SF 9 - No Play.","Box Score"
"","0.10","SF","DAL","20","2023-01-22","3","0:37","1","10","(:37) (Shotgun) 19-D.Samuel right tackle to DAL 15 for no gain (90-D.Lawrence; 42-A.Barr). PENALTY on DAL-95-J.Hankins, Defensive Holding, 5 yards, enforced at DAL 15 - No Play.","Box Score"
"","0.00","KC","JAX","20","2023-01-21","2","3:54","0","0","(Kick formation) PENALTY on KC-73-N.Allegretti, False Start, 5 yards, enforced at JAX 15 - No Play.","Box Score"
"","0.00","CIN","BUF","20","2023-01-22","3","1:29","2","1","(1:29) 70-D.Smith reported in as eligible.  PENALTY on BUF, Defensive Too Many Men on Field, 0 yards, enforced at BUF 1 - No Play.","Box Score"
"","-0.00","CIN","BUF","20","2023-01-22","3","1:29","2","1","(1:29) PENALTY on BUF-97-J.Phillips, Encroachment, 0 yards, enforced at BUF 1 - No Play.","Box Score"
"","-0.17","SF","DAL","20","2023-01-22","4","0:51","4","10","(:51) (Run formation) PENALTY on SF, Delay of Game, 5 yards, enforced at DAL 44 - No Play.","Box Score"
"","-0.20","CIN","BUF","20","2023-01-22","4","2:39","4","1","(2:39) (Run formation) PENALTY on CIN-67-C.Volson, False Start, 4 yards, enforced at CIN 49 - No Play.","Box Score"
"","-0.37","PHI","NYG","20","2023-01-21","3","1:40","4","8","(1:40) (Punt formation) PENALTY on PHI, Delay of Game, 5 yards, enforced at NYG 38 - No Play.","Box Score"
"","-0.45","DAL","SF","20","2023-01-22","3","6:05","4","5","(6:05) (Shotgun) PENALTY on DAL, Delay of Game, 5 yards, enforced at SF 40 - No Play.","Box Score"
"","-0.62","CIN","BUF","20","2023-01-22","2","1:55","3","5","(1:55) (Shotgun) PENALTY on CIN-79-J.Carman, False Start, 5 yards, enforced at BUF 5 - No Play.","Box Score"
"","-0.69","DAL","SF","20","2023-01-22","1","0:56","1","10","(:56) (Shotgun) PENALTY on DAL-73-Ty.Smith, False Start, 5 yards, enforced at DAL 36 - No Play.","Box Score"
"","-0.72","PHI","NYG","20","2023-01-21","4","8:18","1","10","(8:18) (Shotgun) PENALTY on PHI, Delay of Game, 5 yards, enforced at NYG 35 - No Play.","Box Score"
"","-0.74","PHI","NYG","20","2023-01-21","4","5:57","1","10","(5:57) (Shotgun) 1-J.Hurts pass short left to 6-D.Smith pushed ob at NYG 7 for 6 yards (29-X.McKinney). PENALTY on PHI-65-L.Johnson, Ineligible Downfield Pass, 5 yards, enforced at NYG 13 - No Play.","Box Score"
"","-0.75","BUF","CIN","20","2023-01-22","4","8:10","3","10","(8:10) (Shotgun) PENALTY on BUF-79-S.Brown, False Start, 5 yards, enforced at CIN 20 - No Play.","Box Score"
"","-0.75","PHI","NYG","20","2023-01-21","2","14:55","3","8","(14:55) (Shotgun) PENALTY on PHI-65-L.Johnson, False Start, 5 yards, enforced at NYG 44 - No Play.","Box Score"
"","-0.79","JAX","KC","20","2023-01-21","4","13:04","2","4","(13:04) (Shotgun) PENALTY on JAX-84-C.Manhertz, False Start, 5 yards, enforced at JAX 46 - No Play.","Box Score"
"","-0.89","PHI","NYG","20","2023-01-21","4","2:00","3","4","(2:00) (Shotgun) PENALTY on PHI-63-J.Driscoll, False Start, 5 yards, enforced at NYG 30 - No Play.","Box Score"
"","-0.94","DAL","SF","20","2023-01-22","1","13:01","1","10","(13:01) (Shotgun) 4-D.Prescott pass incomplete short left to 88-C.Lamb (31-T.Gipson). PENALTY on DAL-73-Ty.Smith, Offensive Holding, 10 yards, enforced at DAL 26 - No Play.","Box Score"
